original_text,processed_text,label,label_id,token_count
Walton day by day akta reliable brand hocche tai bhalo laglo. Aga jamon manus ar mone hoto walton kinle phone nosto hobe aita akhn bola jabe na ar. Tader software ta optimised korle ar bhalo camera dile aro bhalo hoto. Ar bhai redmi 12 5g ar review diyen,walton day by day akta reliable brand hocche tai bhalo laglo aga jamon manus ar mone hoto walton kinle phone nosto hobe aita akhn bola jabe na ar tader software ta optimised korle ar bhalo camera dile aro bhalo hoto ar bhai redmi 12 5g ar review diyen,Mixed,3,48
Voice sound bhalo but aktu besi hoile aro valo hoito,voice sound bhalo but aktu besi hoile aro valo hoito,Mixed,3,10
Vloi but offer dai na,vloi but offer dai na,Mixed,3,5
Vloi bt cash out korte 15 takar jaigai 18.50 paisa nei,vloi bt cash out korte 15 takar jaigai 18 50 paisa nei,Mixed,3,12
Vlo tobe eto update chai keno? withdraw charge ta beshi eta komanu uchit,vlo tobe eto update chai keno withdraw charge ta beshi eta komanu uchit,Mixed,3,13
vlo nah abar vlo,vlo nah abar vlo,Mixed,3,4
"Vlo laga ,, but kichu kichu somoy app ta kub slow hoya jai",vlo laga but kichu kichu somoy app ta kub slow hoya jai,Mixed,3,12
Vlo kintu airtel er net khub e kharp,vlo kintu airtel er net khub e kharp,Mixed,3,8
Vlo hoyse but aro offer dite hobe,vlo hoyse but aro offer dite hobe,Mixed,3,7
Vlo but tmn na,vlo but tmn na,Mixed,3,4
Vlo but kiso gift korte gele sim & gp internet use korte hoy ei bepar ta khob baje lagche..,vlo but kiso gift korte gele sim gp internet use korte hoy ei bepar ta khob baje lagche,Mixed,3,18
vlo bt tk khay base,vlo bt tk khay base,Mixed,3,5
vlo bt ato update chay tai khub akta satisfied na,vlo bt ato update chay tai khub akta satisfied na,Mixed,3,10
Vlo app..bt rateing rateing kore matha khatap kore . dicce..tai dilam,vlo app bt rateing rateing kore matha khatap kore dicce tai dilam,Mixed,3,12
Vlo app but ekhon onk jamela kore,vlo app but ekhon onk jamela kore,Mixed,3,7
Vlo akta apps Kintu pak kinte taka beshi lage,vlo akta apps kintu pak kinte taka beshi lage,Mixed,3,9
video te er ektu improve hola vlo hto trpr o budget a best,video te er ektu improve hola vlo hto trpr o budget a best,Mixed,3,13
Video ta onek valo hoise. Asolei prai somoi erokom problem e pore jai onek manush. Karon jauar aga toh kau menu prices esob dekhe jai na. But jaur por jodi dekhe atto price tokhon onek somoi feshe jai. Jodi girlfriend thake tahole hoise kam. Man ijjot nia tanatani. Tokhon 100 takar niche khabar golo ordee korle man ijjot kisuta bachbe,video ta onek valo hoise asolei prai somoi erokom problem e pore jai onek manush karon jauar aga toh kau menu prices esob dekhe jai na but jaur por jodi dekhe atto price tokhon onek somoi feshe jai jodi girlfriend thake tahole hoise kam man ijjot nia tanatani tokhon 100 takar niche khabar golo ordee korle man ijjot kisuta bachbe,Mixed,3,60
Video ta gorom er shurute deya uchit cilo apner ! ekhon diye r ki fayda bolun ! dhonnobad!,video ta gorom er shurute deya uchit cilo apner ekhon diye r ki fayda bolun dhonnobad,Mixed,3,16
Video onek jayga tei blur ashtese jemon 1707. Then abar thik hoye jay love your content,video onek jayga tei blur ashtese jemon 1707 then abar thik hoye jay love your content,Mixed,3,16
"Video guli kharaf na. Tobe kotha bolar dhoron mone hoi baba kheye kotha bolse, guti bazder kothao onek sabolil and srutimodhur",video guli kharaf na tobe kotha bolar dhoron mone hoi baba kheye kotha bolse guti bazder kothao onek sabolil and srutimodhur,Mixed,3,21
"Vhai, phn kinar samortho nei, tau apnr sob video, dekhi share kori, apnr jonno suvokamona",vhai phn kinar samortho nei tau apnr sob video dekhi share kori apnr jonno suvokamona,Mixed,3,15
Vedio ta onek help full amar jonno jodi o ba gift na pai,vedio ta onek help full amar jonno jodi o ba gift na pai,Mixed,3,13
"Vedio khub valo,but dam onk tai basi",vedio khub valo but dam onk tai basi,Mixed,3,8
"Vdo ta onk besi sundor hoic, mod of cilo seen ta dekhe onk fresh lagc,tnx apu. Amon frnd lyf a thakl j kno place i enjoy kora jay. Aj keu nai,fmly prbm tai aisob tour vlog i santi. Apu haor a namar por to cul vije gece sathe sathei ki hijab porco. Jara hijab kori aisob short tour a cul vijale kivab early sukhano jay plz tips dao?last seen a tmr saree pora 1ta seen rakhle vdo ta ro sundor hoto i think",vdo ta onk besi sundor hoic mod of cilo seen ta dekhe onk fresh lagc tnx apu amon frnd lyf a thakl j kno place i enjoy kora jay aj keu nai fmly prbm tai aisob tour vlog i santi apu haor a namar por to cul vije gece sathe sathei ki hijab porco jara hijab kori aisob short tour a cul vijale kivab early sukhano jay plz tips dao last seen a tmr saree pora 1ta seen rakhle vdo ta ro sundor hoto i think,Mixed,3,86
valoo. bt tk kom katle aroo valoo hoitoo,valoo bt tk kom katle aroo valoo hoitoo,Mixed,3,8
valoi...tobe kono kono somoy charge aktu basi kate.... vai ato update dite hoy kno buji na ami....protidin oi update dite hoy.. aita kono hoilo,valoi tobe kono kono somoy charge aktu basi kate vai ato update dite hoy kno buji na ami protidin oi update dite hoy aita kono hoilo,Mixed,3,26
valoi tobe maje maje bal kono sms ase na,valoi tobe maje maje bal kono sms ase na,Mixed,3,9
"valoi lage,tobe jodi aro kom dame internet offer dewa hoto,tobe valo hoto",valoi lage tobe jodi aro kom dame internet offer dewa hoto tobe valo hoto,Mixed,3,14
Valoi Kintu beshi use kori nah Tai 3 star,valoi kintu beshi use kori nah tai 3 star,Mixed,3,9
"valoi but update dite baddho korar bisoyta valo lageni, aj khub emergencyte app open korte parlam na without update. update korar porer open hosche na, time nische tar upor cash out ar otirikto fee to asei",valoi but update dite baddho korar bisoyta valo lageni aj khub emergencyte app open korte parlam na without update update korar porer open hosche na time nische tar upor cash out ar otirikto fee to asei,Mixed,3,36
Valoi but amar sim cnct korlei offer pai na,valoi but amar sim cnct korlei offer pai na,Mixed,3,9
Valo.but.thik moto kaj korte chai... na....borring,valo but thik moto kaj korte chai na borring,Mixed,3,9
Valo..tobe sob jaigate net pai na,valo tobe sob jaigate net pai na,Mixed,3,7
ValO..tobe offer dey na tmn,valo tobe offer dey na tmn,Mixed,3,6
Valo...kintu protidin er offer gula dekhay na,valo kintu protidin er offer gula dekhay na,Mixed,3,8
Valo....khub valo na....cole,valo khub valo na cole,Mixed,3,5
valo.... tobe aro valo valo off deya ucit,valo tobe aro valo valo off deya ucit,Mixed,3,8
valo.... kintu star theke down hoilam kamne? every day 100 tk use korar por ? ??,valo kintu star theke down hoilam kamne every day 100 tk use korar por,Mixed,3,14
Valo. But majhe majhe khubi problem kore. Slow kaj kore. Loading hote thake. Ei problem ta chara app ta asholeo valo app. Problem ra thik korar onurodh roilo. Dhonnobad.,valo but majhe majhe khubi problem kore slow kaj kore loading hote thake ei problem ta chara app ta asholeo valo app problem ra thik korar onurodh roilo dhonnobad,Mixed,3,29
"valo,,,,tobe arektu net speed beshi korle aro valo hoy",valo tobe arektu net speed beshi korle aro valo hoy,Mixed,3,10
"Valo, kintu charge onek onek besi. Aktu kom hole valo hoto.",valo kintu charge onek onek besi aktu kom hole valo hoto,Mixed,3,11
"Valo, but charge beshi, faltu",valo but charge beshi faltu,Mixed,3,5
Valo nh nagad valo,valo nh nagad valo,Mixed,3,4
Valo na..ager apps ta valo chelo,valo na ager apps ta valo chelo,Mixed,3,7
Valo na my Banglalink anek valo,valo na my banglalink anek valo,Mixed,3,6
Valo na ei app ta my Banglalink ta anek valo call history nai aro anek kichu nai my Banglalink ache ... My GP ooo valo anek Airtel app ta valo na ....,valo na ei app ta my banglalink ta anek valo call history nai aro anek kichu nai my banglalink ache my gp ooo valo anek airtel app ta valo na,Mixed,3,30
"valo na beshi aro update Kore valo kora dorkar,,,tobuo 5 start dilam",valo na beshi aro update kore valo kora dorkar tobuo 5 start dilam,Mixed,3,13
Valo motamuti Kintu dakater moto taka kate ar offarer dam beshi..damta komale valo hoto,valo motamuti kintu dakater moto taka kate ar offarer dam beshi damta komale valo hoto,Mixed,3,15
Valo laglo tobe ager moton free mb dike valo hiito ro,valo laglo tobe ager moton free mb dike valo hiito ro,Mixed,3,11
Valo laglo but bhai sobai to paina ongso grohon kore kono lave e hoy na bhai sodho hotas hoye jai sob jomoy,valo laglo but bhai sobai to paina ongso grohon kore kono lave e hoy na bhai sodho hotas hoye jai sob jomoy,Mixed,3,22
Valo lage nai ager tai valo chilo,valo lage nai ager tai valo chilo,Mixed,3,7
"Valo lagche,sudhu cashout er somoy late message er joono pera khaite oy emergency te",valo lagche sudhu cashout er somoy late message er joono pera khaite oy emergency te,Mixed,3,15
Valo lagce onek but oi bar bar add asa ta birokto lage,valo lagce onek but oi bar bar add asa ta birokto lage,Mixed,3,12
valo kono offer nei..gp ei valo..1 takay 100 mb 2 takay 200 mb ..Robi te valo kono offer e nai..,valo kono offer nei gp ei valo 1 takay 100 mb 2 takay 200 mb robi te valo kono offer e nai,Mixed,3,22
Valo kintu price beshi,valo kintu price beshi,Mixed,3,4
Valo kintu onek taka lage,valo kintu onek taka lage,Mixed,3,5
valo kintu Network nai,valo kintu network nai,Mixed,3,4
Valo kintu net kom pay,valo kintu net kom pay,Mixed,3,5
valo kintu khuv otirikto update dey,valo kintu khuv otirikto update dey,Mixed,3,6
valo kintu jodi beshi meyadi mb r call rate jodi kom takai pawa jeto tahole aro valo hoto,valo kintu jodi beshi meyadi mb r call rate jodi kom takai pawa jeto tahole aro valo hoto,Mixed,3,18
Valo kintu ektu kharap,valo kintu ektu kharap,Mixed,3,4
Valo kintu batpar shalara,valo kintu batpar shalara,Mixed,3,4
Valo kintu 100 taka dilona,valo kintu 100 taka dilona,Mixed,3,5
valo kinto maje maje kaj kore na.,valo kinto maje maje kaj kore na,Mixed,3,7
valo kazar app ta. toba sim ta valona mana 3g payna 4g to durar kota,valo kazar app ta toba sim ta valona mana 3g payna 4g to durar kota,Mixed,3,15
valo tobe kaj hota hota bondo hoi,valo tobe kaj hota hota bondo hoi,Mixed,3,7
"Valo ekta video hoise, title ta arektu guchano hole ei koy dinei 500k views hoye jaito!",valo ekta video hoise title ta arektu guchano hole ei koy dinei 500k views hoye jaito,Mixed,3,16
valo cilo tobe mase 15 bar update chai,valo cilo tobe mase 15 bar update chai,Mixed,3,8
valo cilo but akhon change kore onk posa hoice.. ami ai app theke onk upokrito hoyeci....,valo cilo but akhon change kore onk posa hoice ami ai app theke onk upokrito hoyeci,Mixed,3,16
valo but Vasi valo na taka besi kate.,valo but vasi valo na taka besi kate,Mixed,3,8
valo but tk pathanor charge ta onek bessy,valo but tk pathanor charge ta onek bessy,Mixed,3,8
Valo but taka kete nai...mb sara use kora jay na,valo but taka kete nai mb sara use kora jay na,Mixed,3,11
Valo but taka beshi kate..,valo but taka beshi kate,Mixed,3,5
Valo but protarona'r bisoyta ekto sokto vabe dekle r o valo hoy,valo but protarona'r bisoyta ekto sokto vabe dekle r o valo hoy,Mixed,3,12
Valo but ovinoy kore majhe majhe,valo but ovinoy kore majhe majhe,Mixed,3,6
valo but otoo valo naa,valo but otoo valo naa,Mixed,3,5
Valo but onk slow..pls solve this problem..,valo but onk slow pls solve this problem,Mixed,3,8
valo but offer kom onk,valo but offer kom onk,Mixed,3,5
Valo but majhe majhe server problem kora,valo but majhe majhe server problem kora,Mixed,3,7
valo but majhe majhe open hote ektu jhamela kore,valo but majhe majhe open hote ektu jhamela kore,Mixed,3,9
Valo but khub valo na,valo but khub valo na,Mixed,3,5
valo but khoroch onk,valo but khoroch onk,Mixed,3,4
Valo but bazare giye chole na praye.,valo but bazare giye chole na praye,Mixed,3,7
Valo but aro valo kora jeto,valo but aro valo kora jeto,Mixed,3,6
Valo but anek jamela hy maje maje,valo but anek jamela hy maje maje,Mixed,3,7
Valo but 50 tk j pawa jai app theke chalo krle new id oita pelam na..,valo but 50 tk j pawa jai app theke chalo krle new id oita pelam na,Mixed,3,16
valo bt update nichhe nah,valo bt update nichhe nah,Mixed,3,5
valo bt majhe majhe net prblm kore onek,valo bt majhe majhe net prblm kore onek,Mixed,3,8
Valo bt ektu vejal ase,valo bt ektu vejal ase,Mixed,3,5
valo bet md cate procur,valo bet md cate procur,Mixed,3,5
valo bat poblam o aca 5 star pawar motor ny swlo,valo bat poblam o aca 5 star pawar motor ny swlo,Mixed,3,11
valo bat ar akto hote parto,valo bat ar akto hote parto,Mixed,3,6
Valo app.toba Jodi withdraw khoroch r aktu kom hoto tahola aro Valo hoto,valo app toba jodi withdraw khoroch r aktu kom hoto tahola aro valo hoto,Mixed,3,14
valo app kintu maja maja somosa kora,valo app kintu maja maja somosa kora,Mixed,3,7
"Valo app kintu bkas er seba onk valo,Tobe nagat er seba jodi online teke kora jete tahle bkas er tekeo valo hto",valo app kintu bkas er seba onk valo tobe nagat er seba jodi online teke kora jete tahle bkas er tekeo valo hto,Mixed,3,23
valo akta apps:)bkash ar moto atate jodi frnd der apps ta downlode korar jonno invite kora jaito tahole valo hoto.i mean reffer offer ta dile valo hoto.r new offer dile kuv valo hoy.best off luck Nagad,valo akta apps bkash ar moto atate jodi frnd der apps ta downlode korar jonno invite kora jaito tahole valo hoto i mean reffer offer ta dile valo hoto r new offer dile kuv valo hoy best off luck nagad,Mixed,3,40
Valer ekta apps age valo chilo.,valer ekta apps age valo chilo,Mixed,3,6
"Vaiya suggestion er jonne form fill up korsi alhamdulillah, but suggestion koi theke pabo bujhtesina toh",vaiya suggestion er jonne form fill up korsi alhamdulillah but suggestion koi theke pabo bujhtesina toh,Mixed,3,16
Vaiya next english 1st part er video diye please kissu pari na apnarai ses borosha,vaiya next english 1st part er video diye please kissu pari na apnarai ses borosha,Mixed,3,15
"Vaiya k group e dekhe eto friendly mone hoy na,kintu ei video onk hasikhsui r friendly lagtese",vaiya k group e dekhe eto friendly mone hoy na kintu ei video onk hasikhsui r friendly lagtese,Mixed,3,18
Vaiya joibo jougo er ekta playlist create korle onek valo hoi apnader joubo jogo er onek class ache but sob gula elo melo vabe ache jar karone bujte somossa hoi je kontar por kon class korbo abar onek somoi khuje paiteo somossa hoi tai vaiya playlist toiri korle onek valo hoi,vaiya joibo jougo er ekta playlist create korle onek valo hoi apnader joubo jogo er onek class ache but sob gula elo melo vabe ache jar karone bujte somossa hoi je kontar por kon class korbo abar onek somoi khuje paiteo somossa hoi tai vaiya playlist toiri korle onek valo hoi,Mixed,3,51
Vaiya hsc chemistry math physics er playlists gula upgrade korle vlo hoy na karon onk topic miss pachi. Kothata bibechona korar jonno onurodh roilo,vaiya hsc chemistry math physics er playlists gula upgrade korle vlo hoy na karon onk topic miss pachi kothata bibechona korar jonno onurodh roilo,Mixed,3,24
Vaiya apnr video ami sob smy dekhi. Jodio kichu kina hoyna cz tk nai goribs,vaiya apnr video ami sob smy dekhi jodio kichu kina hoyna cz tk nai goribs,Mixed,3,15
Vaiya apnar video dekhe valo lage but neyar moto saddho nai,vaiya apnar video dekhe valo lage but neyar moto saddho nai,Mixed,3,11
Vaiya apnader content eto valo but ei videote kothar sathe video mh kore na keno ektu age pore keno hoy ?,vaiya apnader content eto valo but ei videote kothar sathe video mh kore na keno ektu age pore keno hoy,Mixed,3,20
Vaiya amr 1st papaer mcq kharap hoise but 2nd paper diye cover hoye jabe asha kori,vaiya amr 1st papaer mcq kharap hoise but 2nd paper diye cover hoye jabe asha kori,Mixed,3,16
Vaiya akta giveaway jitar icsah ase but paina,vaiya akta giveaway jitar icsah ase but paina,Mixed,3,8
"Vai. If you dont mind. Tumi amar theke mobile onek valo bujo. Eita ami mani. Kintu dekho high mid range bajeter j mobile gula ,iqoo neu 7 pro ,f 5. 11 pro plus,oneplus 11 r ei sobgulai ekta kichu na kichu te onek boro problem ache ,example ami jodi ,oneplus 11r er kotha boli. India te kintu eitai greenline porteche,poco f 5 er kintu same obosta ,onno dike realmer jei problem ta ,app minimize kore rakhle ,jokhon oi khan theke dukte chai ,dekha jai abar suru theke loading hoi ,r video 2100 pp we chalu korle. Phone leg kore ,j kono app click korle ,app chalu hoi na , vai amra ekta mobile kinbo. Jodi oiter update niye saradin rixe chalate hoy ,tahole kivabe ki ,ekta gele ,hmm r ekta kinte parbo kintu etti obochoy korar dorkar , tire aisa tmr nowka dube geche ,ami 10 din jabot use kortechi , alhamdulillah ,camera performance valoi ,r jodi battery kotha bolo,tahole ami bolbo ,ei juge 57k battery diye ki lav. Fast charger thakte,hmm ektu heating hoy manlam,kintu overall dekho,ip68 metal body 11pro plus er theke processor valo eitukui. Onek gyan diye fellam. Parle maf koiro. Amar theke onek valo bujo ,allah hafez love u bro",vai if you dont mind tumi amar theke mobile onek valo bujo eita ami mani kintu dekho high mid range bajeter j mobile gula iqoo neu 7 pro f 5 11 pro plus oneplus 11 r ei sobgulai ekta kichu na kichu te onek boro problem ache example ami jodi oneplus 11r er kotha boli india te kintu eitai greenline porteche poco f 5 er kintu same obosta onno dike realmer jei problem ta app minimize kore rakhle jokhon oi khan theke dukte chai dekha jai abar suru theke loading hoi r video 2100 pp we chalu korle phone leg kore j kono app click korle app chalu hoi na vai amra ekta mobile kinbo jodi oiter update niye saradin rixe chalate hoy tahole kivabe ki ekta gele hmm r ekta kinte parbo kintu etti obochoy korar dorkar tire aisa tmr nowka dube geche ami 10 din jabot use kortechi alhamdulillah camera performance valoi r jodi battery kotha bolo tahole ami bolbo ei juge 57k battery diye ki lav fast charger thakte hmm ektu heating hoy manlam kintu overall dekho ip68 metal body 11pro plus er theke processor valo eitukui onek gyan diye fellam parle maf koiro amar theke onek valo bujo allah hafez love u bro,Mixed,3,207
"Vai, qbits er laptop er price o dekhlam onk kom. Eijinno ektu doubte hocche. Okeneke boltese refurbished products niye ashche qbits. Confusion e achi laptop nibo ki na. Ki rokom hote pare qbits ?",vai qbits er laptop er price o dekhlam onk kom eijinno ektu doubte hocche okeneke boltese refurbished products niye ashche qbits confusion e achi laptop nibo ki na ki rokom hote pare qbits,Mixed,3,33
Vai sodu deikha moja pamo but kinar somortho nay,vai sodu deikha moja pamo but kinar somortho nay,Mixed,3,9
Vai shonselam robi sim bd ar shera sim Huh.valer sim robi sim loading nite 10 hr lage,vai shonselam robi sim bd ar shera sim huh valer sim robi sim loading nite 10 hr lage,Mixed,3,18
Vai shob thik ase kintu camarer video kore dakhale valo hoy,vai shob thik ase kintu camarer video kore dakhale valo hoy,Mixed,3,11
Vai phone kinar pore egula vdo dhekle kmn lage,vai phone kinar pore egula vdo dhekle kmn lage,Mixed,3,9
Vai onk giveaway te ongsho niyechi but kokhn winner hoye pari nai. Jai hok sam vaiyer video emniteo share kori not for giveaway just love always,vai onk giveaway te ongsho niyechi but kokhn winner hoye pari nai jai hok sam vaiyer video emniteo share kori not for giveaway just love always,Mixed,3,26
Vai link pailam na to but link dile balo hoy,vai link pailam na to but link dile balo hoy,Mixed,3,10
Vai khub e easy mcq porse but tension e thik moto fill up korte pari nai sob vule gesilam basay ese dekhi khub easy,vai khub e easy mcq porse but tension e thik moto fill up korte pari nai sob vule gesilam basay ese dekhi khub easy,Mixed,3,24
Vai khale to pc banan ar amra deki kini to ar nah. Akdin akta giveaway koren akta pc,vai khale to pc banan ar amra deki kini to ar nah akdin akta giveaway koren akta pc,Mixed,3,18
Vai jitay diyen ehono kono ta jitte parlamna onek kostothank you vai for this giveway,vai jitay diyen ehono kono ta jitte parlamna onek kostothank you vai for this giveway,Mixed,3,15
Vai facebook id thake income hoica akhon police ishu asca akhon jai income te hoica oita ki banke ishu thaka obostay banke tk te asva,vai facebook id thake income hoica akhon police ishu asca akhon jai income te hoica oita ki banke ishu thaka obostay banke tk te asva,Mixed,3,25
Vai dress thik ase kintu sound aktu kom kom,vai dress thik ase kintu sound aktu kom kom,Mixed,3,9
Vai camera ta sheiiiiiiiii! but emn dark dark lage kn,vai camera ta sheiiiiiiiii but emn dark dark lage kn,Mixed,3,10
Vai cactus ta sundor lage nai amy bolle ami kisu sundor sundor cactus gift korte pari. 2018 theyka er fan hisab eta kore amer valo lagbe,vai cactus ta sundor lage nai amy bolle ami kisu sundor sundor cactus gift korte pari 2018 theyka er fan hisab eta kore amer valo lagbe,Mixed,3,26
Vai app ta valo.. Bt amake 100% er bonus deoa hoicilo bt paini.. Arokom chitari koren na vai... Okk,vai app ta valo bt amake 100 er bonus deoa hoicilo bt paini arokom chitari koren na vai okk,Mixed,3,19
Vai apner kotha bolar style ta onk biroktikor but content valo,vai apner kotha bolar style ta onk biroktikor but content valo,Mixed,3,11
Vai apnar sob video ami dekhi ami apnar onek boro akjon fan bolte paren. Amar akta help dorkar bro. Amar facebook a akta comments facebook team er against hoise but ota delete korte parsi na plz help me bro,vai apnar sob video ami dekhi ami apnar onek boro akjon fan bolte paren amar akta help dorkar bro amar facebook a akta comments facebook team er against hoise but ota delete korte parsi na plz help me bro,Mixed,3,39
"Vai apnar review valo lage tai dekhtam ,but majh khane enader interview hudai video nasto korche",vai apnar review valo lage tai dekhtam but majh khane enader interview hudai video nasto korche,Mixed,3,16
Vai apnader video joto valo howk nah ken tumble er motho athota joss hote parbe na nishchit,vai apnader video joto valo howk nah ken tumble er motho athota joss hote parbe na nishchit,Mixed,3,17
Vai apnader noto update app ekta ball ager varson onek valo cilo ay letest varson theke......,vai apnader noto update app ekta ball ager varson onek valo cilo ay letest varson theke,Mixed,3,16
Vai apar sound ar vitor noise ase onk asa kori next kheyal rakhben bisoy ta,vai apar sound ar vitor noise ase onk asa kori next kheyal rakhben bisoy ta,Mixed,3,15
"Vai amr s23ultra water e immerse korle shob thik thak chole but spen er hole er vitore water dhuke, ei ta ki normal naki problem ache?",vai amr s23ultra water e immerse korle shob thik thak chole but spen er hole er vitore water dhuke ei ta ki normal naki problem ache,Mixed,3,26
Vai amr akta nijer mobile nai. Vaiyar phone diye apnr video deki. Onk vlo lage dekte kintu kinar samotho nai,vai amr akta nijer mobile nai vaiyar phone diye apnr video deki onk vlo lage dekte kintu kinar samotho nai,Mixed,3,20
Vai ami to apnar sob video a deki kintu ami jodi apnar ke comment kori tahole apni reply den na ken vai,vai ami to apnar sob video a deki kintu ami jodi apnar ke comment kori tahole apni reply den na ken vai,Mixed,3,22
Vai amar antek csk 550w new psu. Rayans thake neoa. Cher cher aoaj ashe. Aita keno hosse intake product. 2 mash a amn hoia gelo. Oder phone koresilam bole nia ashen dekhte hbe. New kinle amn hobe obak lagse. But oi sound ta pc te kono effect korse na. Kintu sunte khrp lage,vai amar antek csk 550w new psu rayans thake neoa cher cher aoaj ashe aita keno hosse intake product 2 mash a amn hoia gelo oder phone koresilam bole nia ashen dekhte hbe new kinle amn hobe obak lagse but oi sound ta pc te kono effect korse na kintu sunte khrp lage,Mixed,3,53
Vai akta liquid collar use kora jaito na valobasa niban,vai akta liquid collar use kora jaito na valobasa niban,Mixed,3,10
Vai aj gorib bole ios calai borolok hoile xiaomi calaitam,vai aj gorib bole ios calai borolok hoile xiaomi calaitam,Mixed,3,10
Vai ager version tai valo silo..Ekhon to app e dhukai jasse na..onek time nisse.,vai ager version tai valo silo ekhon to app e dhukai jasse na onek time nisse,Mixed,3,16
"Vai , apnader content onk valo hoileo sound quality borabor e kharap , egula diye nijeder nam kharap na kore abar record kora o better !",vai apnader content onk valo hoileo sound quality borabor e kharap egula diye nijeder nam kharap na kore abar record kora o better,Mixed,3,23
"Vagge nai koto naa giveaway te ongso grohon korlam pailam naa , fiyamanillah",vagge nai koto naa giveaway te ongso grohon korlam pailam naa fiyamanillah,Mixed,3,12
"Vacation e relax korlam, but phire ese thanda lege galo.",vacation e relax korlam but phire ese thanda lege galo,Mixed,3,10
