sample_id,original_text,processed_text,label,label_id,token_count
56,Valo. But majhe majhe khubi problem kore. Slow kaj kore. Loading hote thake. Ei problem ta chara app ta asholeo valo app. Problem ra thik korar onurodh roilo. Dhonnobad.,valo but majhe majhe khubi problem kore slow kaj kore loading hote thake ei problem ta chara app ta asholeo valo app problem ra thik korar onurodh roilo dhonnobad,Mixed,3,29
57,"valo,,,,tobe arektu net speed beshi korle aro valo hoy",valo tobe arektu net speed beshi korle aro valo hoy,Mixed,3,10
58,"Valo, kintu charge onek onek besi. Aktu kom hole valo hoto.",valo kintu charge onek onek besi aktu kom hole valo hoto,Mixed,3,11
59,"Valo, but charge beshi, faltu",valo but charge beshi faltu,Mixed,3,5
60,Valo nh nagad valo,valo nh nagad valo,Mixed,3,4
61,Valo na..ager apps ta valo chelo,valo na ager apps ta valo chelo,Mixed,3,7
62,Valo na my Banglalink anek valo,valo na my banglalink anek valo,Mixed,3,6
63,Valo na ei app ta my Banglalink ta anek valo call history nai aro anek kichu nai my Banglalink ache ... My GP ooo valo anek Airtel app ta valo na ....,valo na ei app ta my banglalink ta anek valo call history nai aro anek kichu nai my banglalink ache my gp ooo valo anek airtel app ta valo na,Mixed,3,30
65,Valo motamuti Kintu dakater moto taka kate ar offarer dam beshi..damta komale valo hoto,valo motamuti kintu dakater moto taka kate ar offarer dam beshi damta komale valo hoto,Mixed,3,15
66,Valo laglo tobe ager moton free mb dike valo hiito ro,valo laglo tobe ager moton free mb dike valo hiito ro,Mixed,3,11
67,Valo laglo but bhai sobai to paina ongso grohon kore kono lave e hoy na bhai sodho hotas hoye jai sob jomoy,valo laglo but bhai sobai to paina ongso grohon kore kono lave e hoy na bhai sodho hotas hoye jai sob jomoy,Mixed,3,22
68,Valo lage nai ager tai valo chilo,valo lage nai ager tai valo chilo,Mixed,3,7
69,"Valo lagche,sudhu cashout er somoy late message er joono pera khaite oy emergency te",valo lagche sudhu cashout er somoy late message er joono pera khaite oy emergency te,Mixed,3,15
70,Valo lagce onek but oi bar bar add asa ta birokto lage,valo lagce onek but oi bar bar add asa ta birokto lage,Mixed,3,12
71,valo kono offer nei..gp ei valo..1 takay 100 mb 2 takay 200 mb ..Robi te valo kono offer e nai..,valo kono offer nei gp ei valo 1 takay 100 mb 2 takay 200 mb robi te valo kono offer e nai,Mixed,3,22
72,Valo kintu price beshi,valo kintu price beshi,Mixed,3,4
73,Valo kintu onek taka lage,valo kintu onek taka lage,Mixed,3,5
74,valo kintu Network nai,valo kintu network nai,Mixed,3,4
75,Valo kintu net kom pay,valo kintu net kom pay,Mixed,3,5
76,valo kintu khuv otirikto update dey,valo kintu khuv otirikto update dey,Mixed,3,6
77,valo kintu jodi beshi meyadi mb r call rate jodi kom takai pawa jeto tahole aro valo hoto,valo kintu jodi beshi meyadi mb r call rate jodi kom takai pawa jeto tahole aro valo hoto,Mixed,3,18
78,Valo kintu ektu kharap,valo kintu ektu kharap,Mixed,3,4
79,Valo kintu batpar shalara,valo kintu batpar shalara,Mixed,3,4
80,Valo kintu 100 taka dilona,valo kintu 100 taka dilona,Mixed,3,5
81,valo kinto maje maje kaj kore na.,valo kinto maje maje kaj kore na,Mixed,3,7
82,valo kazar app ta. toba sim ta valona mana 3g payna 4g to durar kota,valo kazar app ta toba sim ta valona mana 3g payna 4g to durar kota,Mixed,3,15
83,valo tobe kaj hota hota bondo hoi,valo tobe kaj hota hota bondo hoi,Mixed,3,7
84,"Valo ekta video hoise, title ta arektu guchano hole ei koy dinei 500k views hoye jaito!",valo ekta video hoise title ta arektu guchano hole ei koy dinei 500k views hoye jaito,Mixed,3,16
85,valo cilo tobe mase 15 bar update chai,valo cilo tobe mase 15 bar update chai,Mixed,3,8
86,valo cilo but akhon change kore onk posa hoice.. ami ai app theke onk upokrito hoyeci....,valo cilo but akhon change kore onk posa hoice ami ai app theke onk upokrito hoyeci,Mixed,3,16
88,valo but tk pathanor charge ta onek bessy,valo but tk pathanor charge ta onek bessy,Mixed,3,8
89,Valo but taka kete nai...mb sara use kora jay na,valo but taka kete nai mb sara use kora jay na,Mixed,3,11
90,Valo but taka beshi kate..,valo but taka beshi kate,Mixed,3,5
92,Valo but ovinoy kore majhe majhe,valo but ovinoy kore majhe majhe,Mixed,3,6
94,Valo but onk slow..pls solve this problem..,valo but onk slow pls solve this problem,Mixed,3,8
96,Valo but majhe majhe server problem kora,valo but majhe majhe server problem kora,Mixed,3,7
97,valo but majhe majhe open hote ektu jhamela kore,valo but majhe majhe open hote ektu jhamela kore,Mixed,3,9
99,valo but khoroch onk,valo but khoroch onk,Mixed,3,4
100,Valo but bazare giye chole na praye.,valo but bazare giye chole na praye,Mixed,3,7
101,Valo but aro valo kora jeto,valo but aro valo kora jeto,Mixed,3,6
102,Valo but anek jamela hy maje maje,valo but anek jamela hy maje maje,Mixed,3,7
104,valo bt update nichhe nah,valo bt update nichhe nah,Mixed,3,5
105,valo bt majhe majhe net prblm kore onek,valo bt majhe majhe net prblm kore onek,Mixed,3,8
106,Valo bt ektu vejal ase,valo bt ektu vejal ase,Mixed,3,5
107,valo bet md cate procur,valo bet md cate procur,Mixed,3,5
108,valo bat poblam o aca 5 star pawar motor ny swlo,valo bat poblam o aca 5 star pawar motor ny swlo,Mixed,3,11
109,valo bat ar akto hote parto,valo bat ar akto hote parto,Mixed,3,6
110,Valo app.toba Jodi withdraw khoroch r aktu kom hoto tahola aro Valo hoto,valo app toba jodi withdraw khoroch r aktu kom hoto tahola aro valo hoto,Mixed,3,14
111,valo app kintu maja maja somosa kora,valo app kintu maja maja somosa kora,Mixed,3,7
113,valo akta apps:)bkash ar moto atate jodi frnd der apps ta downlode korar jonno invite kora jaito tahole valo hoto.i mean reffer offer ta dile valo hoto.r new offer dile kuv valo hoy.best off luck Nagad,valo akta apps bkash ar moto atate jodi frnd der apps ta downlode korar jonno invite kora jaito tahole valo hoto i mean reffer offer ta dile valo hoto r new offer dile kuv valo hoy best off luck nagad,Mixed,3,40
114,Valer ekta apps age valo chilo.,valer ekta apps age valo chilo,Mixed,3,6
115,"Vaiya suggestion er jonne form fill up korsi alhamdulillah, but suggestion koi theke pabo bujhtesina toh",vaiya suggestion er jonne form fill up korsi alhamdulillah but suggestion koi theke pabo bujhtesina toh,Mixed,3,16
117,"Vaiya k group e dekhe eto friendly mone hoy na,kintu ei video onk hasikhsui r friendly lagtese",vaiya k group e dekhe eto friendly mone hoy na kintu ei video onk hasikhsui r friendly lagtese,Mixed,3,18
118,Vaiya joibo jougo er ekta playlist create korle onek valo hoi apnader joubo jogo er onek class ache but sob gula elo melo vabe ache jar karone bujte somossa hoi je kontar por kon class korbo abar onek somoi khuje paiteo somossa hoi tai vaiya playlist toiri korle onek valo hoi,vaiya joibo jougo er ekta playlist create korle onek valo hoi apnader joubo jogo er onek class ache but sob gula elo melo vabe ache jar karone bujte somossa hoi je kontar por kon class korbo abar onek somoi khuje paiteo somossa hoi tai vaiya playlist toiri korle onek valo hoi,Mixed,3,51
120,Vaiya apnr video ami sob smy dekhi. Jodio kichu kina hoyna cz tk nai goribs,vaiya apnr video ami sob smy dekhi jodio kichu kina hoyna cz tk nai goribs,Mixed,3,15
123,Vaiya amr 1st papaer mcq kharap hoise but 2nd paper diye cover hoye jabe asha kori,vaiya amr 1st papaer mcq kharap hoise but 2nd paper diye cover hoye jabe asha kori,Mixed,3,16
124,Vaiya akta giveaway jitar icsah ase but paina,vaiya akta giveaway jitar icsah ase but paina,Mixed,3,8
125,"Vai. If you dont mind. Tumi amar theke mobile onek valo bujo. Eita ami mani. Kintu dekho high mid range bajeter j mobile gula ,iqoo neu 7 pro ,f 5. 11 pro plus,oneplus 11 r ei sobgulai ekta kichu na kichu te onek boro problem ache ,example ami jodi ,oneplus 11r er kotha boli. India te kintu eitai greenline porteche,poco f 5 er kintu same obosta ,onno dike realmer jei problem ta ,app minimize kore rakhle ,jokhon oi khan theke dukte chai ,dekha jai abar suru theke loading hoi ,r video 2100 pp we chalu korle. Phone leg kore ,j kono app click korle ,app chalu hoi na , vai amra ekta mobile kinbo. Jodi oiter update niye saradin rixe chalate hoy ,tahole kivabe ki ,ekta gele ,hmm r ekta kinte parbo kintu etti obochoy korar dorkar , tire aisa tmr nowka dube geche ,ami 10 din jabot use kortechi , alhamdulillah ,camera performance valoi ,r jodi battery kotha bolo,tahole ami bolbo ,ei juge 57k battery diye ki lav. Fast charger thakte,hmm ektu heating hoy manlam,kintu overall dekho,ip68 metal body 11pro plus er theke processor valo eitukui. Onek gyan diye fellam. Parle maf koiro. Amar theke onek valo bujo ,allah hafez love u bro",vai if you dont mind tumi amar theke mobile onek valo bujo eita ami mani kintu dekho high mid range bajeter j mobile gula iqoo neu 7 pro f 5 11 pro plus oneplus 11 r ei sobgulai ekta kichu na kichu te onek boro problem ache example ami jodi oneplus 11r er kotha boli india te kintu eitai greenline porteche poco f 5 er kintu same obosta onno dike realmer jei problem ta app minimize kore rakhle jokhon oi khan theke dukte chai dekha jai abar suru theke loading hoi r video 2100 pp we chalu korle phone leg kore j kono app click korle app chalu hoi na vai amra ekta mobile kinbo jodi oiter update niye saradin rixe chalate hoy tahole kivabe ki ekta gele hmm r ekta kinte parbo kintu etti obochoy korar dorkar tire aisa tmr nowka dube geche ami 10 din jabot use kortechi alhamdulillah camera performance valoi r jodi battery kotha bolo tahole ami bolbo ei juge 57k battery diye ki lav fast charger thakte hmm ektu heating hoy manlam kintu overall dekho ip68 metal body 11pro plus er theke processor valo eitukui onek gyan diye fellam parle maf koiro amar theke onek valo bujo allah hafez love u bro,Mixed,3,207
126,"Vai, qbits er laptop er price o dekhlam onk kom. Eijinno ektu doubte hocche. Okeneke boltese refurbished products niye ashche qbits. Confusion e achi laptop nibo ki na. Ki rokom hote pare qbits ?",vai qbits er laptop er price o dekhlam onk kom eijinno ektu doubte hocche okeneke boltese refurbished products niye ashche qbits confusion e achi laptop nibo ki na ki rokom hote pare qbits,Mixed,3,33
128,Vai shonselam robi sim bd ar shera sim Huh.valer sim robi sim loading nite 10 hr lage,vai shonselam robi sim bd ar shera sim huh valer sim robi sim loading nite 10 hr lage,Mixed,3,18
129,Vai shob thik ase kintu camarer video kore dakhale valo hoy,vai shob thik ase kintu camarer video kore dakhale valo hoy,Mixed,3,11
131,Vai onk giveaway te ongsho niyechi but kokhn winner hoye pari nai. Jai hok sam vaiyer video emniteo share kori not for giveaway just love always,vai onk giveaway te ongsho niyechi but kokhn winner hoye pari nai jai hok sam vaiyer video emniteo share kori not for giveaway just love always,Mixed,3,26
132,Vai link pailam na to but link dile balo hoy,vai link pailam na to but link dile balo hoy,Mixed,3,10
133,Vai khub e easy mcq porse but tension e thik moto fill up korte pari nai sob vule gesilam basay ese dekhi khub easy,vai khub e easy mcq porse but tension e thik moto fill up korte pari nai sob vule gesilam basay ese dekhi khub easy,Mixed,3,24
135,Vai jitay diyen ehono kono ta jitte parlamna onek kostothank you vai for this giveway,vai jitay diyen ehono kono ta jitte parlamna onek kostothank you vai for this giveway,Mixed,3,15
136,Vai facebook id thake income hoica akhon police ishu asca akhon jai income te hoica oita ki banke ishu thaka obostay banke tk te asva,vai facebook id thake income hoica akhon police ishu asca akhon jai income te hoica oita ki banke ishu thaka obostay banke tk te asva,Mixed,3,25
137,Vai dress thik ase kintu sound aktu kom kom,vai dress thik ase kintu sound aktu kom kom,Mixed,3,9
138,Vai camera ta sheiiiiiiiii! but emn dark dark lage kn,vai camera ta sheiiiiiiiii but emn dark dark lage kn,Mixed,3,10
139,Vai cactus ta sundor lage nai amy bolle ami kisu sundor sundor cactus gift korte pari. 2018 theyka er fan hisab eta kore amer valo lagbe,vai cactus ta sundor lage nai amy bolle ami kisu sundor sundor cactus gift korte pari 2018 theyka er fan hisab eta kore amer valo lagbe,Mixed,3,26
140,Vai app ta valo.. Bt amake 100% er bonus deoa hoicilo bt paini.. Arokom chitari koren na vai... Okk,vai app ta valo bt amake 100 er bonus deoa hoicilo bt paini arokom chitari koren na vai okk,Mixed,3,19
141,Vai apner kotha bolar style ta onk biroktikor but content valo,vai apner kotha bolar style ta onk biroktikor but content valo,Mixed,3,11
142,Vai apnar sob video ami dekhi ami apnar onek boro akjon fan bolte paren. Amar akta help dorkar bro. Amar facebook a akta comments facebook team er against hoise but ota delete korte parsi na plz help me bro,vai apnar sob video ami dekhi ami apnar onek boro akjon fan bolte paren amar akta help dorkar bro amar facebook a akta comments facebook team er against hoise but ota delete korte parsi na plz help me bro,Mixed,3,39
144,Vai apnader video joto valo howk nah ken tumble er motho athota joss hote parbe na nishchit,vai apnader video joto valo howk nah ken tumble er motho athota joss hote parbe na nishchit,Mixed,3,17
145,Vai apnader noto update app ekta ball ager varson onek valo cilo ay letest varson theke......,vai apnader noto update app ekta ball ager varson onek valo cilo ay letest varson theke,Mixed,3,16
147,"Vai amr s23ultra water e immerse korle shob thik thak chole but spen er hole er vitore water dhuke, ei ta ki normal naki problem ache?",vai amr s23ultra water e immerse korle shob thik thak chole but spen er hole er vitore water dhuke ei ta ki normal naki problem ache,Mixed,3,26
148,Vai amr akta nijer mobile nai. Vaiyar phone diye apnr video deki. Onk vlo lage dekte kintu kinar samotho nai,vai amr akta nijer mobile nai vaiyar phone diye apnr video deki onk vlo lage dekte kintu kinar samotho nai,Mixed,3,20
155,"Vagge nai koto naa giveaway te ongso grohon korlam pailam naa , fiyamanillah",vagge nai koto naa giveaway te ongso grohon korlam pailam naa fiyamanillah,Mixed,3,12
156,"Vacation e relax korlam, but phire ese thanda lege galo.",vacation e relax korlam but phire ese thanda lege galo,Mixed,3,10
158,"Use kora sesh camera eto valo lage na, zoom. Korle fati jay use korar koto thake na r. Amne onk lite weight. Hard feel o valo. Baki sob valoe lage",use kora sesh camera eto valo lage na zoom korle fati jay use korar koto thake na r amne onk lite weight hard feel o valo baki sob valoe lage,Mixed,3,30
162,Update diyar por onek solo hoye gece ager tai valo selo,update diyar por onek solo hoye gece ager tai valo selo,Mixed,3,11
163,Uodate er pore baal banaiso tomra... Eto complicated korar kisu silona.. Purana tai valo silo,uodate er pore baal banaiso tomra eto complicated korar kisu silona purana tai valo silo,Mixed,3,15
164,Under 20000 hole tik silo but er opur e price gele eta belu for money noe,under 20000 hole tik silo but er opur e price gele eta belu for money noe,Mixed,3,16
165,Ultrawide camera nai eta te. Thakle best option hoto,ultrawide camera nai eta te thakle best option hoto,Mixed,3,9
167,Tws m10 diye amio ekhon apnar kotha sunchi etar battery khuv baje diyechilo ekhon ager battery fele diye ekta 18650 battery lagiye dilam ekhon valo charge thake i mean 89 bar duita airbuds charge kora jai,tws m10 diye amio ekhon apnar kotha sunchi etar battery khuv baje diyechilo ekhon ager battery fele diye ekta 18650 battery lagiye dilam ekhon valo charge thake i mean 89 bar duita airbuds charge kora jai,Mixed,3,36
168,"TV show tar humor funny, but episodes ta too long.",tv show tar humor funny but episodes ta too long,Mixed,3,10
169,"Tushar vai idaning sponsor paile pam martei thake , ei pc bari nia jaben ,bus e niben , monitor dibe k? jmne boltse jano mac eita",tushar vai idaning sponsor paile pam martei thake ei pc bari nia jaben bus e niben monitor dibe k jmne boltse jano mac eita,Mixed,3,24
170,Tushar vai er salary 5 lakh. Ar sabbir vai er 69k mante parchi na 302,tushar vai er salary 5 lakh ar sabbir vai er 69k mante parchi na 302,Mixed,3,15
171,Tushar bhai ke onek bhallage kintu ekta jinish onek chokhe portesilo je apni salman bhai er kothar majkhane kotha bola shuru kore den and nijer ekta opinion diye den. Eita ektu ashole birokto e lagse. Asha kori eita fix korben love,tushar bhai ke onek bhallage kintu ekta jinish onek chokhe portesilo je apni salman bhai er kothar majkhane kotha bola shuru kore den and nijer ekta opinion diye den eita ektu ashole birokto e lagse asha kori eita fix korben love,Mixed,3,41
172,Tshirts er color r skin color same Ami toh voy e paisilam eita ki pore Dekhi tshirt,tshirts er color r skin color same ami toh voy e paisilam eita ki pore dekhi tshirt,Mixed,3,17
173,"Try to maintain quality over quantity,recently onk consistent holeo vai ekta particular video te effort kom ditesen lgtese. Ey video er editingcinematography shb miliye khubi tarahura kore banaisen lgtese. Plz quality ta maintain korar try koriyen!",try to maintain quality over quantity recently onk consistent holeo vai ekta particular video te effort kom ditesen lgtese ey video er editingcinematography shb miliye khubi tarahura kore banaisen lgtese plz quality ta maintain korar try koriyen,Mixed,3,37
174,"Trekking experience bhalo, but foot blister hoye galo.",trekking experience bhalo but foot blister hoye galo,Mixed,3,8
175,"Travel er experience onek bhalo laglo, kintu akhon mone hocche jeno aro onek kichu kora dorkar, jeno budget beshi hoye geche.",travel er experience onek bhalo laglo kintu akhon mone hocche jeno aro onek kichu kora dorkar jeno budget beshi hoye geche,Mixed,3,21
176,"Train ta late, but scenery dekhe ekhon bhalo lagtese.",train ta late but scenery dekhe ekhon bhalo lagtese,Mixed,3,9
177,"Toy ta innovative, but materials ta safe na.",toy ta innovative but materials ta safe na,Mixed,3,8
178,Torr benduurr essiiss bidehethi bie kerrloo nemotreon kreenee ekno get to gather progreme kerbe nesschoy nemotreon thikk prebii,torr benduurr essiiss bidehethi bie kerrloo nemotreon kreenee ekno get to gather progreme kerbe nesschoy nemotreon thikk prebii,Mixed,3,18
179,"Tomar sathe thaka ta onek shukh, kintu akhon mone hocche jeno tumi dure chole jachho, jeno bondhutto ta komche jacche.",tomar sathe thaka ta onek shukh kintu akhon mone hocche jeno tumi dure chole jachho jeno bondhutto ta komche jacche,Mixed,3,20
181,"Tomar jonno onek kichu korchi, kintu mone hocche jeno tumi shegulo bujhte paro ni, jeno efforts gulo unnoticed hoye geche.",tomar jonno onek kichu korchi kintu mone hocche jeno tumi shegulo bujhte paro ni jeno efforts gulo unnoticed hoye geche,Mixed,3,20
182,toder theke grameenphone dakat holeo oder net services bhalo dei,toder theke grameenphone dakat holeo oder net services bhalo dei,Mixed,3,10
183,"Tnq vhaiya onk common paici question, kintu likhar time paini",tnq vhaiya onk common paici question kintu likhar time paini,Mixed,3,10
184,Tmi asholei babu. Pura video mac er gungan kore last e unclear kotha bolo,tmi asholei babu pura video mac er gungan kore last e unclear kotha bolo,Mixed,3,14
185,Tiffin er khabar bhalo chilo but eder jonne kheye shanti pelam na,tiffin er khabar bhalo chilo but eder jonne kheye shanti pelam na,Mixed,3,12
188,Thank you for the informative video. Kintu apnare website e apnara price update koren na kano?,thank you for the informative video kintu apnare website e apnara price update koren na kano,Mixed,3,16
191,"Teacher bhalo porshay, kintu khub rude.",teacher bhalo porshay kintu khub rude,Mixed,3,6
192,"Tea ta flavorful, but temperature ta too hot.",tea ta flavorful but temperature ta too hot,Mixed,3,8
193,"Taskin oshadharon ball korlo, kintu onno bowler der performance hotashar chilo.",taskin oshadharon ball korlo kintu onno bowler der performance hotashar chilo,Mixed,3,11
194,"Taskin er spell dekhte moja laglo, kintu tar last over er run ta extra diye dilo",taskin er spell dekhte moja laglo kintu tar last over er run ta extra diye dilo,Mixed,3,16
195,Takeout e food bhalo but wait time onek beshi.,takeout e food bhalo but wait time onek beshi,Mixed,3,9
196,Taka mere dileo akhon valo,taka mere dileo akhon valo,Mixed,3,5
198,Sylhet board e common asche osusthotar karone likhte parini,sylhet board e common asche osusthotar karone likhte parini,Mixed,3,9
199,Sylhet board common painai apnader suggestions teke bangla first paper. Er por teke arr apnader suggestions follow kore ni. But ajk aschi class korte english second paper jonno,sylhet board common painai apnader suggestions teke bangla first paper er por teke arr apnader suggestions follow kore ni but ajk aschi class korte english second paper jonno,Mixed,3,28
203,"Stadium er atmosphere onek shundor laglo, kintu ticket er dam onek beshi, mone hocche jeno afford kora jacche na.",stadium er atmosphere onek shundor laglo kintu ticket er dam onek beshi mone hocche jeno afford kora jacche na,Mixed,3,19
204,Ssc candidate nh tobu abbu ke bolle dibe kintu abbur business er kotha jni tai bolte perbo nh,ssc candidate nh tobu abbu ke bolle dibe kintu abbur business er kotha jni tai bolte perbo nh,Mixed,3,18
208,Sob vedio den but mrp bolen na mrp koile onek subidha hoi,sob vedio den but mrp bolen na mrp koile onek subidha hoi,Mixed,3,12
209,Sob Thik asa kintu robi offer gula r ekhn valo lage na,sob thik asa kintu robi offer gula r ekhn valo lage na,Mixed,3,12
210,Sob thik ache brightness kom,sob thik ache brightness kom,Mixed,3,5
211,Sob somoi vedio deki but kokono giveaway pailam na,sob somoi vedio deki but kokono giveaway pailam na,Mixed,3,9
212,Sob kso e vlo kinto akto slow,sob kso e vlo kinto akto slow,Mixed,3,7
213,Sob kico think asa. Kinto cpu cooler koi,sob kico think asa kinto cpu cooler koi,Mixed,3,8
214,Sob kico taei khoroc barai dice Sand many 5 taka cilo 10 taka kore dice. Nagadi valo sobai nagad use koren,sob kico taei khoroc barai dice sand many 5 taka cilo 10 taka kore dice nagadi valo sobai nagad use koren,Mixed,3,21
